,Media,Date,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
10,@BBCWorld,Tue Jul 10 17:38:48 +0000 2018,California lawyer investigated for obscene slur on Democrat https://t.co/Euw0rd7M5j,-0.5859,0.0,0.322,0.678,11
11,@BBCWorld,Tue Jul 10 16:53:04 +0000 2018,Jailed ex-bank boss David Drumm given suspended sentence https://t.co/Vi0UxRkb9s,-0.7184,0.096,0.463,0.441,12
12,@BBCWorld,Tue Jul 10 16:52:40 +0000 2018,"RT @BBCNews: Theresa May: Donald Trump and I will ""be talking positively about how we can continue to work together"", after US President sa…",0.5267,0.134,0.0,0.866,13
13,@BBCWorld,Tue Jul 10 16:31:11 +0000 2018,Trump pardons Oregon ranchers who sparked 2016 militia standoff https://t.co/4q8QnoHgwz,0.296,0.196,0.0,0.804,14
14,@BBCWorld,Tue Jul 10 15:42:20 +0000 2018,"RT @BBCSport: Just incredible.

Serena Williams will play in her 11th Wimbledon semi-final after beating Italy’s Camila Giorgi.

LIVE👉https…",-0.1531,0.107,0.134,0.759,15
15,@BBCWorld,Tue Jul 10 15:36:01 +0000 2018,Trump: What does the US do for the Nato alliance in Europe? https://t.co/SNjWA8Ubju,0.0,0.0,0.0,1.0,16
16,@BBCWorld,Tue Jul 10 15:25:42 +0000 2018,Many injured as plane crashes in S Africa https://t.co/EL1oIRf4Rf,-0.4019,0.0,0.278,0.722,17
17,@BBCWorld,Tue Jul 10 15:24:27 +0000 2018,World Cup 2018: @BBCRajiniV has been out and about in Moscow to see how many different nationalities she could find… https://t.co/6uylEr7Keh,0.0,0.0,0.0,1.0,18
18,@BBCWorld,Tue Jul 10 14:58:06 +0000 2018,Homer Odyssey: Oldest extract discovered on clay tablet https://t.co/D2uOBAg0LA,0.0,0.0,0.0,1.0,19
19,@BBCWorld,Tue Jul 10 14:55:16 +0000 2018,Irish prime minister welcomes UK Brexit statement https://t.co/4uMQM1BMDl,0.4019,0.278,0.0,0.722,20
20,@BBCWorld,Tue Jul 10 14:48:10 +0000 2018,"RT @BBCBreaking: @DanJohnsonNews Mission accomplished!

The last members of the rescue team who were inside the cave have made it out succe…",0.7574,0.245,0.0,0.755,21
21,@BBCWorld,Tue Jul 10 14:21:03 +0000 2018,Ryanair to cancel up to 30 flights on Thursday https://t.co/OrLRPsIouq,-0.25,0.0,0.182,0.818,22
22,@BBCWorld,Tue Jul 10 14:05:47 +0000 2018,In pictures: How the Thailand cave rescue unfolded https://t.co/u0p4Vzs1hF,0.5106,0.292,0.0,0.708,23
23,@BBCWorld,Tue Jul 10 13:25:23 +0000 2018,Trump-Nato summit: EU's Tusk warns president to appreciate allies https://t.co/cW0PLqYNph,0.3182,0.223,0.116,0.661,24
24,@BBCWorld,Tue Jul 10 13:03:20 +0000 2018,Israeli unmanned spacecraft to land on Moon in 2019 https://t.co/NaVk85Tl3A,0.0,0.0,0.0,1.0,25
25,@BBCWorld,Tue Jul 10 12:50:23 +0000 2018,"RT @BBCBreaking: ""It really is a fantastic achievement of human endeavour"" - @DanJohnsonNews on the extraordinary challenges faced by #Thai…",0.6344,0.245,0.0,0.755,26
26,@BBCWorld,Tue Jul 10 12:13:08 +0000 2018,Biker critically injured in Southern 100 practice session crash https://t.co/O5y3RyrQzL,-0.6597,0.0,0.403,0.597,27
27,@BBCWorld,Tue Jul 10 12:08:06 +0000 2018,Cave rescue: All 13 out after 17-day ordeal in Thailand https://t.co/DLPnGkzlEj,0.5106,0.248,0.0,0.752,28
28,@BBCWorld,Tue Jul 10 12:02:54 +0000 2018,Nicaragua crisis: '38 killed in bloodiest day' - NGO https://t.co/ieJv57o8ya,-0.8625,0.0,0.551,0.449,29
29,@BBCWorld,Tue Jul 10 12:00:50 +0000 2018,"RT @BBCBreaking: #ThaiCaveRescue: All 12 boys and their football coach rescued from flooded cave system in Chiang Rai 🐗🇹🇭 

https://t.co/bu…",0.4215,0.128,0.0,0.872,30
30,@BBCWorld,Tue Jul 10 11:33:16 +0000 2018,South Sudan profile - Timeline https://t.co/DWaMOgLPrH,0.0,0.0,0.0,1.0,31
31,@BBCWorld,Tue Jul 10 11:23:17 +0000 2018,"George Clooney back in ER (with minor injury)

https://t.co/WsZt2s1fuF",0.0,0.0,0.0,1.0,32
32,@BBCWorld,Tue Jul 10 11:20:19 +0000 2018,"#ThaiCaveRescue: Mission ""nearing its end"" as ninth boy taken to hospital, and reports tenth and eleventh also safe… https://t.co/9fdgERrQV9",0.0,0.0,0.0,1.0,33
33,@BBCWorld,Tue Jul 10 11:15:12 +0000 2018,Greece profile - Timeline https://t.co/F0ShoOtafL,0.0,0.0,0.0,1.0,34
34,@BBCWorld,Tue Jul 10 11:10:15 +0000 2018,Macedonia country profile https://t.co/SVwy4I4Lai,0.0,0.0,0.0,1.0,35
35,@BBCWorld,Tue Jul 10 10:32:08 +0000 2018,"RT @BBCBreaking: Reports from the scene say 11th person has been carried out of cave in Thailand, as rescue operation continues #ThaiCaveRe…",0.5106,0.136,0.0,0.864,36
36,@BBCWorld,Tue Jul 10 10:27:18 +0000 2018,Eritrea country profile https://t.co/qV9D5ypKJT,0.0,0.0,0.0,1.0,37
37,@BBCWorld,Tue Jul 10 10:22:34 +0000 2018,Michael D Higgins to seek second term as Irish president https://t.co/anzFRlxILU,0.0,0.0,0.0,1.0,38
38,@BBCWorld,Tue Jul 10 10:02:35 +0000 2018,"Thai Navy Seals confirm nine boys now safe as cave rescue operation continues, more than two weeks after the young… https://t.co/eJv3O6Ol4D",0.7351,0.246,0.0,0.754,39
39,@BBCWorld,Tue Jul 10 09:58:02 +0000 2018,Israel closes main Gaza goods crossing in response to arson attacks https://t.co/Ioa1daOAln,-0.4404,0.0,0.209,0.791,40
40,@BBCWorld,Tue Jul 10 09:45:41 +0000 2018,"RT @BBCBreaking: Thai cave rescue: At least one more boy brought out of cave safely in latest phase of rescue operation - reports

Live upd…",0.8689,0.318,0.0,0.682,41
41,@BBCWorld,Tue Jul 10 09:39:34 +0000 2018,Germany bans ethnic Turkish boxer gang Osmanen Germania https://t.co/4ixYK2HNUn,0.0,0.0,0.0,1.0,42
42,@BBCWorld,Tue Jul 10 09:37:01 +0000 2018,"Three years ago, a prominent human rights lawyer in China was arrested. 

Wang Quanzhang hasn't been heard from sin… https://t.co/pyKQor8gIP",-0.2023,0.103,0.138,0.759,43
43,@BBCWorld,Tue Jul 10 09:15:43 +0000 2018,"""No kid has cave dived like this before"": Meet one of the divers working to free the boys trapped in a cave in Thai… https://t.co/FbLdKFxJ1s",0.0516,0.185,0.178,0.637,44
44,@BBCWorld,Tue Jul 10 09:07:52 +0000 2018,Ethiopia country profile https://t.co/a9EAnroB0t,0.0,0.0,0.0,1.0,45
45,@BBCWorld,Tue Jul 10 09:05:18 +0000 2018,New Nigeria opposition alliance aims to defeat Buhari https://t.co/lsCDMUhYwV,-0.4588,0.0,0.273,0.727,46
46,@BBCWorld,Tue Jul 10 08:40:32 +0000 2018,Mexico country profile https://t.co/506bP4MK5y,0.0,0.0,0.0,1.0,47
47,@BBCWorld,Tue Jul 10 08:39:14 +0000 2018,"RT @BBCSport: Happy #worldcup semi-final day 1!

Join us for live build-up to #FRA v #BEL 📲 https://t.co/Tfcuayu3PC

#bbcworldcup https://t…",0.7345,0.236,0.0,0.764,48
48,@BBCWorld,Tue Jul 10 08:21:49 +0000 2018,India policemen told to slim down or lose job https://t.co/25tynRWK0Z,-0.4019,0.0,0.231,0.769,49
49,@BBCWorld,Tue Jul 10 07:57:03 +0000 2018,Turkey profile - Timeline https://t.co/Zx44T77FO8,0.0,0.0,0.0,1.0,50
50,@BBCWorld,Tue Jul 10 07:01:05 +0000 2018,"RT @SallyBundockBBC: The great escape - if you plan to, tell us how you are going to avoid the #WorldCup semi finals. Will your workplace b…",0.5574,0.193,0.073,0.733,51
51,@BBCWorld,Tue Jul 10 06:58:49 +0000 2018,Syria war: What we know about Douma 'chemical attack' https://t.co/fh4HXesble,-0.7906,0.0,0.467,0.533,52
52,@BBCWorld,Tue Jul 10 06:12:46 +0000 2018,World's 'oldest coloured molecules' are bright pink https://t.co/EfG5Z7ZjQu,0.4404,0.293,0.0,0.707,53
53,@BBCWorld,Tue Jul 10 06:10:20 +0000 2018,"The latest from the cave rescue in Thailand

https://t.co/Ypxu0yuRvw https://t.co/Q7ld6ykzPd",0.5106,0.268,0.0,0.732,54
54,@BBCWorld,Tue Jul 10 05:41:00 +0000 2018,Dissident Liu Xiaobo's widow 'allowed to leave China' https://t.co/xJy9jrl6Su,-0.0516,0.0,0.13,0.87,55
55,@BBCWorld,Tue Jul 10 05:40:21 +0000 2018,"Elon Musk's offer 'not practical' for cave mission, Thai rescue chief says https://t.co/Sc9awbB2XJ https://t.co/CXRy7l4Ia1",0.5106,0.202,0.0,0.798,56
56,@BBCWorld,Tue Jul 10 05:15:28 +0000 2018,"RT @BBCBreaking: #ThailandCaveRescue: Remaining  four boys and coach may be freed today, rescue chief says https://t.co/ZND3yhW6ke

Live up…",0.7184,0.273,0.0,0.727,57
57,@BBCWorld,Tue Jul 10 02:55:20 +0000 2018,Japan floods: 126 killed after torrential rain and landslides https://t.co/92Wy0Eg6rH,-0.6705,0.0,0.333,0.667,58
58,@BBCWorld,Tue Jul 10 02:47:04 +0000 2018,RT @SallyBundockBBC: The #WorldCup is down to 4 European countries in the semi finals so who are you backing and why?  #France #Belgium #En…,0.0258,0.048,0.0,0.952,59
59,@BBCWorld,Tue Jul 10 02:40:04 +0000 2018,Australia and NZ recall frozen vegetables over listeria fears https://t.co/rTYQOY6BCK,-0.4215,0.0,0.237,0.763,60
60,@BBCWorld,Tue Jul 10 02:25:56 +0000 2018,"Follow our live #ThailandCaveRescue page for the latest updates https://t.co/Sc9awbB2XJ

And you can also subscribe… https://t.co/uwydn7CMm3",0.0,0.0,0.0,1.0,61
61,@BBCWorld,Tue Jul 10 01:07:55 +0000 2018,Trump names Kavanaugh for US Supreme Court https://t.co/E8xpUvZ4im,0.5574,0.34,0.0,0.66,62
62,@BBCWorld,Mon Jul 09 23:33:17 +0000 2018,Can Ethiopia's Abiy Ahmed make peace with 'Africa's North Korea'? https://t.co/hmJnnVfcmh,0.5423,0.259,0.0,0.741,63
63,@BBCWorld,Mon Jul 09 23:28:17 +0000 2018,Macedonia: The Balkan country waiting for Nato's invitation https://t.co/HlpfRFLZ0r,0.0,0.0,0.0,1.0,64
64,@BBCWorld,Mon Jul 09 23:11:16 +0000 2018,Where a six-figure salary is 'low income' https://t.co/NRLpo8VBaK,-0.2732,0.0,0.259,0.741,65
65,@BBCWorld,Mon Jul 09 23:08:26 +0000 2018,Belgium-France: World Cup clash tests border loyalties https://t.co/EkIUfNT2hE,0.4404,0.293,0.0,0.707,66
66,@BBCWorld,Mon Jul 09 21:44:58 +0000 2018,Turkey's Erdogan appoints son-in-law as finance minister https://t.co/4qe9mUtJn5,0.0,0.0,0.0,1.0,67
67,@BBCWorld,Mon Jul 09 21:42:09 +0000 2018,Cave rescue: Divers ready to save remaining five Thais https://t.co/ILpHChetTF,0.8402,0.562,0.0,0.438,68
68,@BBCWorld,Mon Jul 09 21:34:47 +0000 2018,Nicaragua unrest: Bishop's anger as people die in clashes https://t.co/x7JY5riHws,-0.8225,0.0,0.487,0.513,69
69,@BBCWorld,Mon Jul 09 20:58:04 +0000 2018,Starbucks to ban plastics straws in all stores by 2020 https://t.co/Btj94Fjha3,-0.5574,0.0,0.265,0.735,70
70,@BBCWorld,Mon Jul 09 19:11:20 +0000 2018,Trump denies US opposition to WHO breastfeeding resolution https://t.co/sziQ0GZLUa,-0.4215,0.0,0.259,0.741,71
71,@BBCWorld,Mon Jul 09 18:12:45 +0000 2018,Police: Texas toddler dies from self-inflicted gunshot wound https://t.co/y7EMuiZF7D,0.0,0.0,0.0,1.0,72
72,@BBCWorld,Mon Jul 09 18:04:20 +0000 2018,Brussels fears UK cabinet crisis is a path to no-deal Brexit https://t.co/hOoTgwSAnt,-0.7845,0.0,0.434,0.566,73
73,@BBCWorld,Mon Jul 09 17:37:02 +0000 2018,Ryanair agrees to meet union ahead of strike date https://t.co/XmM6zAd7iB,0.0772,0.159,0.133,0.708,74
74,@BBCWorld,Mon Jul 09 17:24:04 +0000 2018,Migrant separations: Toddlers facing court cases alone https://t.co/hpG7nfyalQ,-0.25,0.0,0.222,0.778,75
75,@BBCWorld,Mon Jul 09 16:58:01 +0000 2018,RT @BBCJonSopel: Statement from @WhiteHouse on turmoil in UK following #BorisExit and #DavisResigns - all that’s missing are words ‘whoever…,-0.5719,0.0,0.217,0.783,76
76,@BBCWorld,Mon Jul 09 16:03:34 +0000 2018,"Boris Johnson quits amid Brexit crisis

https://t.co/1C8JqE7nRa https://t.co/onfbq5aJe7",-0.6249,0.0,0.369,0.631,77
77,@BBCWorld,Mon Jul 09 16:02:21 +0000 2018,The people in this Ohio county could predict the next president of the US. What should we ask them? Email us at ask… https://t.co/G0B5UkVg0B,0.0,0.0,0.0,1.0,78
78,@BBCWorld,Mon Jul 09 15:41:14 +0000 2018,RT @BBCSport: Greg van Avermaet has taken the yellow jersey following day three of the Tour de France https://t.co/Ng1jdYZbID https://t.co/…,0.0,0.0,0.0,1.0,79
79,@BBCWorld,Mon Jul 09 15:17:34 +0000 2018,"RT @BBCSport: Serena Williams is in the quarter-finals!

She’s defeated Evgeniya Rodina in straight sets.

Live👉https://t.co/JgrbGi9BZF 
📺…",-0.3595,0.094,0.167,0.739,80
80,@BBCWorld,Mon Jul 09 15:04:21 +0000 2018,Harvey Weinstein pleads not guilty in third sex assault case https://t.co/XtBOL42ckP,-0.3544,0.154,0.251,0.595,81
81,@BBCWorld,Mon Jul 09 15:01:41 +0000 2018,California man proposes after finding rings in ashes of home https://t.co/rWWjSKBFBI,0.0,0.0,0.0,1.0,82
82,@BBCWorld,Mon Jul 09 14:08:29 +0000 2018,RT @richard_conway: I understand FIFA remains in contact with the Thai FA over the football team boys trapped in the partly flooded cave (8…,-0.5267,0.0,0.134,0.866,83
83,@BBCWorld,Mon Jul 09 13:46:42 +0000 2018,"RT @BBC_HaveYourSay: .@chrissyteigen photo with 'twins' creates social media storm on #breastfeeding

https://t.co/9wQGRpd0H1",0.2732,0.149,0.0,0.851,84
84,@BBCWorld,Mon Jul 09 13:02:43 +0000 2018,"RT @pakhead: So we can confirm 4 boys out, chilled but safe today, 4 boys yesterday. 8 our of 8 - superb work. They will go back for the re…",0.8885,0.292,0.0,0.708,85
85,@BBCWorld,Mon Jul 09 13:00:32 +0000 2018,"RT @BBCBreaking: #ThaiCaveRescue: Four more boys have been safely taken out of the caves, bringing the total rescued to eight, the BBC unde…",0.7184,0.222,0.0,0.778,86
86,@BBCWorld,Mon Jul 09 12:03:20 +0000 2018,"“I want to tell you honey you are the hero in my heart”

Saman Gunan's wife and father tell us about the man who di… https://t.co/PSj0vLctkS",0.5994,0.17,0.0,0.83,87
87,@BBCWorld,Mon Jul 09 12:02:21 +0000 2018,"RT @bbcaaron: Another scandal is brewing in the car industry. The Japanese auto giant #Nissan says its uncovered ""misconduct"" involving emi…",-0.4404,0.0,0.127,0.873,88
88,@BBCWorld,Mon Jul 09 11:34:06 +0000 2018,Douglas care home revised plans to rebuild Glenside approved https://t.co/5hVrIqkj5j,0.7184,0.429,0.0,0.571,89
89,@BBCWorld,Mon Jul 09 10:44:45 +0000 2018,Millions of Spanish wine bottles sold off as French rosé https://t.co/xydRVC5wB8,0.0,0.0,0.0,1.0,90
90,@BBCWorld,Mon Jul 09 10:18:03 +0000 2018,Ethiopia and Eritrea declare war over https://t.co/iZxKy5YgjZ,-0.5994,0.0,0.394,0.606,91
91,@BBCWorld,Mon Jul 09 10:10:28 +0000 2018,Cave rescue: Who are the 12 boys and their coach trapped in Thailand? https://t.co/lTlBOpE974,-0.0258,0.176,0.182,0.642,92
92,@BBCWorld,Mon Jul 09 09:53:57 +0000 2018,France's Marine Le Pen condemns 2m-euro party funding block https://t.co/2cDqbzDaUL,-0.5423,0.17,0.39,0.44,93
93,@BBCWorld,Mon Jul 09 09:14:16 +0000 2018,South Africa ex-President Jacob Zuma's son charged with corruption https://t.co/aZc0IuGfQB,-0.2023,0.0,0.167,0.833,94
94,@BBCWorld,Mon Jul 09 09:11:38 +0000 2018,India Delhi bus gang rapists lose death row plea https://t.co/VgbanDCY78,-0.8979,0.0,0.609,0.391,95
95,@BBCWorld,Mon Jul 09 08:06:38 +0000 2018,"RT @BBCBreaking: #ThaiCaveRescue: Four boys rescued last night now in quarantine in Chiang Rai hospital, local officials say 

Live updates…",0.4215,0.128,0.0,0.872,96
96,@BBCWorld,Mon Jul 09 07:53:47 +0000 2018,"RT @BBCBreaking: Follow the latest developments on day two of the #ThaiCaveRescue as effort to rescue nine remaining people resumes

https:…",0.5106,0.142,0.0,0.858,97
97,@BBCWorld,Mon Jul 09 07:49:39 +0000 2018,First eastern quolls born in Australian wild for half a century https://t.co/QVEGOyxmr9,0.0,0.0,0.0,1.0,98
98,@BBCWorld,Mon Jul 09 07:02:32 +0000 2018,"RT @BBCBenThompson: As more and more of us work on the move with a laptop and wifi, what would you miss most about the office? Your colleag…",-0.1531,0.0,0.06,0.94,99
99,@BBCWorld,Mon Jul 09 05:54:27 +0000 2018,Rohingya crisis: Myanmar to try Reuters journalists who reported on massacre https://t.co/OTszRdHxbk,-0.6249,0.0,0.272,0.728,100
100,@CBSNews,Tue Jul 10 20:15:20 +0000 2018,"TAIL-OR MADE: Mr. Stubbs the alligator suffered for eight years without a tail. So, doctors made him this prostheti… https://t.co/FwNzj3HVSH",-0.4939,0.0,0.151,0.849,1
101,@CBSNews,Tue Jul 10 19:59:53 +0000 2018,"Snakes almost on a plane: A Barbados-bound passenger tried to ""artfully"" sneak a baby python on board in a hard dri… https://t.co/njwQ6nQGGB",-0.1027,0.0,0.076,0.924,2
102,@CBSNews,Tue Jul 10 19:44:49 +0000 2018,The FBI agent accused of accidentally shooting a man after doing a backflip in a nightclub will get to carry his gu… https://t.co/OWTligItGz,-0.5574,0.0,0.204,0.796,3
103,@CBSNews,Tue Jul 10 19:30:37 +0000 2018,"END OF AN ERA: Cristiano Ronaldo, who played on Real Madrid for the last nine years, leaves the club for Italy's Ju… https://t.co/YIm57uWqNN",0.34,0.098,0.0,0.902,4
104,@CBSNews,Tue Jul 10 19:14:40 +0000 2018,"Paul Manafort wants to prevent certain evidence from being used in his fraud trial, including material about allege… https://t.co/W1hWFbMxet",-0.3818,0.139,0.165,0.696,5
105,@CBSNews,Tue Jul 10 18:59:45 +0000 2018,"The World Cup is down to its final four teams! Here's how to watch the semi-finals this week
https://t.co/k4HvlxEd5Z https://t.co/DPYQOENhLp",0.0,0.0,0.0,1.0,6
106,@CBSNews,Tue Jul 10 18:45:16 +0000 2018,WATCH: A driver has been charged with DUI after a camera captured his speeding car flying into a brick house in Pen… https://t.co/AuH55yxqjM,-0.2023,0.0,0.087,0.913,7
107,@CBSNews,Tue Jul 10 18:43:39 +0000 2018,Viral photo shows four badass Thai Navy SEALs who stayed with boys in cave https://t.co/T3CLCj2O3F https://t.co/MbJGNPnF8u,0.34,0.138,0.0,0.862,8
108,@CBSNews,Tue Jul 10 18:29:52 +0000 2018,"Cristiano Ronaldo is leaving Real Madrid to join Italian club Juventus, a move that changes the landscape of Europe… https://t.co/erR8EL9RgB",0.296,0.109,0.0,0.891,9
109,@CBSNews,Tue Jul 10 18:14:32 +0000 2018,What's the deal with airline peanuts? Southwest Airlines says it will stop serving the snack on flights over concer… https://t.co/xFyoU4hhXC,-0.296,0.0,0.104,0.896,10
110,@CBSNews,Tue Jul 10 17:59:50 +0000 2018,The Trump administration reportedly refused to promote breastfeeding. But global health experts say it has major be… https://t.co/YBkVzkEPZk,0.0516,0.093,0.082,0.825,11
111,@CBSNews,Tue Jul 10 17:45:18 +0000 2018,"These twins may only be six years old, but they just saved a toddler from drowning. And now they're being hailed as… https://t.co/mX1NXU89Mh",0.7227,0.232,0.0,0.768,12
112,@CBSNews,Tue Jul 10 17:29:34 +0000 2018,"The investigation into the deadly nerve agent used on an English couple is rapidly expanding, with police seizing a… https://t.co/DoeEZrlDhb",0.0,0.0,0.0,1.0,13
113,@CBSNews,Tue Jul 10 17:14:58 +0000 2018,"""You're not coming"": Princess Charlotte stole the show at her little brother's christening this week, when she got… https://t.co/2VUocuOyc8",0.0,0.0,0.0,1.0,14
114,@CBSNews,Tue Jul 10 17:00:02 +0000 2018,"Supreme Court nominee Brett Kavanaugh is ""not some right-wing extremist,"" says a Republican strategist who worked w… https://t.co/9SUMQDcsSW",0.5574,0.184,0.0,0.816,15
115,@CBSNews,Tue Jul 10 16:00:38 +0000 2018,All 12 members of a Thai soccer team and their coach have been rescued after being trapped for more than two weeks… https://t.co/nIh0Hu9A0w,-0.1531,0.107,0.13,0.763,16
116,@CBSNews,Tue Jul 10 15:44:42 +0000 2018,"Medic and three Navy SEALs who stayed with the boys in cave are now out, leader of the Thailand rescue says… https://t.co/rN5TiQ1L75",0.5106,0.136,0.0,0.864,17
117,@CBSNews,Tue Jul 10 15:30:31 +0000 2018,"WATCH: A car sunk into an Arizona canal after a monsoon. When a rescuer dove in to see if someone was inside, a wom… https://t.co/hTcrAL9Y9F",0.0,0.0,0.0,1.0,18
118,@CBSNews,Tue Jul 10 15:15:15 +0000 2018,"HOW DID THEY DO IT? After an 18-day rescue mission, divers have removed all 12 boys and their soccer coach. This is… https://t.co/gkCSsyiHRJ",0.5106,0.13,0.0,0.87,19
119,@CBSNews,Tue Jul 10 14:59:36 +0000 2018,Does Roundup cause cancer? Lawyers for Monsanto go to first trial in giant legal battle alleging that product is le… https://t.co/jTgstNQguQ,-0.7579,0.057,0.264,0.679,20
120,@CBSNews,Tue Jul 10 14:57:10 +0000 2018,"WATCH: Democratic leaders speak out against President Trump's Supreme Court nominee, Brett Kavanaugh… https://t.co/Zg27cmICKi",0.5574,0.217,0.0,0.783,21
121,@CBSNews,Tue Jul 10 14:44:56 +0000 2018,Dozens of immigrant children to be reunited with parents on Tuesday https://t.co/AvkvTurWNW https://t.co/61V6fb79tx,0.0,0.0,0.0,1.0,22
122,@CBSNews,Tue Jul 10 14:29:56 +0000 2018,"""Dear America, appreciate your allies. After all, you don't have that many"": European Council President Donald Tusk… https://t.co/GFLcnZf8mV",0.6486,0.249,0.0,0.751,23
123,@CBSNews,Tue Jul 10 14:14:59 +0000 2018,Shocking! IHOP admits it faked IHOb name change https://t.co/LnV3sPzHTh https://t.co/HdnP3OY8ey,-0.2003,0.167,0.227,0.606,24
124,@CBSNews,Tue Jul 10 14:06:06 +0000 2018,"Hard numbers:
- Analysts expect China to install almost 300 million surveillance cameras across the country by 2020… https://t.co/4cYwAC5C6j",-0.1027,0.0,0.076,0.924,25
125,@CBSNews,Tue Jul 10 14:02:57 +0000 2018,U.S. allies are bracing for President Trump at this week's NATO summit in Brussels. Here's what you need to know:… https://t.co/tQJiu2LbaO,0.0,0.0,0.0,1.0,26
126,@CBSNews,Tue Jul 10 14:00:21 +0000 2018,WATCH: Mischievous bear takes dip in man's hot tub and drinks the margarita he left behind 🍹🐻… https://t.co/U57QkzFERT,0.0,0.0,0.0,1.0,27
127,@CBSNews,Tue Jul 10 13:45:25 +0000 2018,There are 102 children under five years old still separated from their parents at the Southern U.S. Border. Despite… https://t.co/1BpRMnLgj8,0.0,0.0,0.0,1.0,28
128,@CBSNews,Tue Jul 10 13:30:16 +0000 2018,George Clooney was taken to the hospital in Italy and released after being involved in an accident while riding his… https://t.co/6E4PfMERCC,-0.4767,0.0,0.134,0.866,29
129,@CBSNews,Tue Jul 10 13:15:08 +0000 2018,"WATCH: Lightning strikes through 4th of July fireworks displays -- not once, but twice in two different states 🌩🎆… https://t.co/iXAiDoVt46",-0.1901,0.0,0.084,0.916,30
130,@CBSNews,Tue Jul 10 13:00:30 +0000 2018,"""Frankly, [Russian President] Putin may be the easiest of them all -- who would think?"" President Trump says on dea… https://t.co/vXC9xz48fm",0.4215,0.123,0.0,0.877,31
131,@CBSNews,Tue Jul 10 12:40:19 +0000 2018,"Senate Minority Leader Chuck Schumer vows he will oppose Supreme Court nominee Brett Kavanuagh ""with everything I'v… https://t.co/UhwY6S3cia",0.5574,0.175,0.0,0.825,32
132,@CBSNews,Tue Jul 10 12:19:57 +0000 2018,Restaurant owner from Illinois called to help rescue boys trapped in Thai cave https://t.co/q3q5E47lrv https://t.co/1Z7JTL7X0f,0.3818,0.28,0.159,0.561,33
133,@CBSNews,Tue Jul 10 12:13:22 +0000 2018,"RT @CBSThisMorning: According to Thai media, the parents of the first group of four boys have been allowed into the same hospital room with…",0.0,0.0,0.0,1.0,34
134,@CBSNews,Tue Jul 10 12:08:42 +0000 2018,"RT @CBSThisMorning: “The boys in the hospital, they're expected to be there for at least seven days. They're being quarantined, and two may…",0.0,0.0,0.0,1.0,35
135,@CBSNews,Tue Jul 10 11:59:57 +0000 2018,Thai Navy SEAL team posts touching photo during international effort to rescue boys from cave… https://t.co/iHiZeFEKRr,0.5106,0.18,0.0,0.82,36
136,@CBSNews,Tue Jul 10 11:51:04 +0000 2018,"“The parents said in a letter to the soccer coach, 'Don't feel bad. We support you, we do not blame you for what ha… https://t.co/TozrxhJpzR",0.764,0.265,0.0,0.735,37
137,@CBSNews,Tue Jul 10 11:48:46 +0000 2018,19 divers were involved in today’s phase of the rescue operation. Three Thai Navy SEALS and a doctor were in the ca… https://t.co/cG8B7WADOb,0.5106,0.136,0.0,0.864,38
